geo,time,GOOGLE_IMPS,LINKEDIN_IMPS,LINKEDINABM_IMPS,DISPLAYABM_IMPS,VIDEOABM_IMPS,AUDIO_IMPS,DISPLAY_IMPS,VIDEO_IMPS,TEADS_IMPS,YOUTUBE_IMPS,CLICKS_GOOGLE,CLICKS_LINKEDIN,CLICKS_LINKEDIN_ABM,CLICKS_ABM_DISPLAY,CLICKS_ABM_VIDEO,CLICKS_AUDIO,CLICKS_DISPLAY,CLICKS_VIDEO,CLICKS_TEADS,CLICKS_YOUTUBE,GOOGLE_SPEND,LINKEDIN_SPEND,LINKEDINABM_SPEND,DISPLAYABM_SPEND,VIDEOABM_SPEND,AUDIO_SPEND,DISPLAY_SPEND,VIDEO_SPEND,TEADS_SPEND,YOUTUBE_SPEND,TOTAL_SPEND,MONTH,TOTAL_IMPS,TOTAL_IMPS_DAY,SAME_DAY_ENTRIES,CONVERSIONS_DAY,conversions,REV_PER_CONVERSION
North America,2024-08-03,0,0,0,0,0,0,0,21193,14418,15885,0,0,0,0,0,0,0,23,25,37,0.0,0.0,0,0.0,0.0,0,0.0,21.95,286.4,317.7,626.05,2024-08,51496,80883,0,89,57,87.19
North America,2024-08-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
North America,2024-08-05,3682,3232,0,6005,4617,0,60799,18824,15100,20385,349,18,0,4,1,0,39,25,24,57,1730.88,181.08,0,329.25,21.95,0,395.1,21.95,300.12,407.7,3388.03,2024-08,132644,228900,0,95,55,87.19
North America,2024-08-06,5829,3677,0,8601,6279,0,61678,9734,13847,13348,87,20,0,6,1,0,61,5,19,23,299.28,179.59,0,658.5,43.9,0,504.85,21.95,275.48,266.96,2250.51,2024-08,122993,187727,0,101,66,87.19
North America,2024-08-07,933,2526,0,7637,5789,0,73766,43293,29087,34377,177,14,0,5,3,0,59,29,43,113,529.23,124.28,0,329.25,21.95,0,658.5,43.9,577.82,687.54,2972.47,2024-08,197408,352776,0,116,65,87.19
North America,2024-08-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
North America,2024-08-09,1859,1942,0,0,0,0,0,0,0,0,181,7,0,0,0,0,0,0,0,0,952.62,77.33,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1029.95,2024-08,3801,12530,0,65,20,87.19
North America,2024-08-10,1795,2120,0,5747,4770,0,82652,13578,16170,18722,227,15,0,3,4,0,56,17,27,51,1062.43,145.36,0,658.5,43.9,0,636.55,21.95,321.36,374.44,3264.49,2024-08,145554,249149,0,40,23,87.19
North America,2024-08-11,6855,10319,0,11154,4971,0,66679,32769,27946,32543,355,29,0,10,4,0,73,13,34,84,1091.15,239.82,0,482.9,21.95,0,548.75,43.9,555.82,650.86,3635.15,2024-08,193236,330839,0,54,32,87.19
North America,2024-08-12,0,0,0,1571,5739,0,35349,19964,14174,14751,0,0,0,1,2,0,27,19,21,50,0.0,0.0,0,175.6,21.95,0,373.15,21.95,282.06,295.02,1169.73,2024-08,91548,163210,0,50,28,87.19
